[Id: oMaVM3Q9qICv04Xzm1K9q1i2B58tXmJB] 2023/05/23 17:34:41 logger.go:23:  Time: 2023-05-23T17:34:41+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: OPTIONS Uri: /api/rooms/contact-list Status: 204 Latency: 18.5305ms Bytes_in: 0 Bytes_out: 0

[Id: 7Et8GtIduBNhjWt8LQoBHdgeN63fhyOi] 2023/05/23 17:34:42 logger.go:23:  Time: 2023-05-23T17:34:42+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/contact-list Status: 200 Latency: 486.3228ms Bytes_in: 0 Bytes_out: 39

[Id: NSmd4CweuPMli5DVHz5Lw0hmuZzopNWF] 2023/05/23 17:34:56 logger.go:23:  Time: 2023-05-23T17:34:56+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: OPTIONS Uri: /api/rooms/chat-history?u1=user03&u2=user01 Status: 204 Latency: 9.0163ms Bytes_in: 0 Bytes_out: 0

[Id: kNKDwntikF4xtGCWzzJM74kQArL3ZQee] 2023/05/23 17:34:56 logger.go:23:  Time: 2023-05-23T17:34:56+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/chat-history?u1=user03&u2=user01 Status: 200 Latency: 143.853ms Bytes_in: 0 Bytes_out: 90

[Id: DdFofvumvRDPHPRw5nxW1jqZeLqeIAHM] 2023/05/23 17:36:34 logger.go:23:  Time: 2023-05-23T17:36:34+07:00 Remote_IP: ::1 Agent: PostmanRuntime/7.32.2 Host: localhost:8080 Method: GET Uri: /api/rooms/chat-history?u1=user01&u2=user03 Status: 200 Latency: 245.2419ms Bytes_in: 0 Bytes_out: 90

